NameB,TF
王,9520
李,9340
张,8960
刘,6770
陈,6130
杨,4270
黄,3260
吴,2680
赵,2670
周,2520
徐,1930
孙,1830
马,1720
朱,1700
胡,1550
林,1510
郭,1500
何,1400
高,1330
罗,1260
郑,1240
梁,1130
谢,1010
宋,932
唐,917
许,881
邓,821
冯,818
韩,815
曹,791
曾,772
彭,766
肖,739
蔡,701
潘,687
田,685
董,677
袁,667
于,642
余,633
蒋,632
叶,632
杜,619
苏,606
魏,603
程,601
吕,596
丁,576
沈,550
任,547
姚,538
卢,536
钟,533
姜,523
崔,509
谭,499
廖,487
范,485
汪,483
陆,480
金,467
石,455
戴,449
贾,439
韦,430
夏,426
邱,423
方,413
侯,401
邹,394
熊,384
孟,383
秦,379
白,374
毛,374
江,369
闫,360
薛,347
尹,346
付,336
段,320
雷,319
黎,288
史,285
龙,281
钱,279
贺,274
陶,274
顾,272
龚,264
郝,264
邵,262
万,254
严,246
洪,240
赖,240
武,239
傅,236
莫,233
孔,231
汤,227
向,226
常,218
温,217
康,211
施,206
文,204
牛,202
樊,200
葛,195
邢,192
安,179
齐,176
易,175
乔,173
伍,171
庞,167
颜,164
倪,163
庄,162
聂,159
章,157
鲁,151
岳,149
翟,149
申,147
殷,147
詹,147
欧,146
耿,140
关,137
覃,136
兰,134
焦,133
俞,132
左,131
柳,129
甘,126
祝,120
包,115
代,112
宁,110
符,109
阮,109
尚,109
舒,109
纪,106
柯,106
梅,105
童,105
毕,103
凌,103
单,101
季,101
成,100
霍,100
苗,100
裴,100
涂,100
谷,99
曲,98
盛,98
冉,97
翁,97
蓝,96
骆,96
路,95
游,94
靳,92
辛,92
欧阳,91
管,87
柴,86
蒙,83
鲍,82
华,82
喻,81
祁,80
房,75
蒲,75
滕,74
萧,73.9
屈,73
饶,73
解,71
牟,70
艾,69
尤,68
时,67
阳,67
阎,66
穆,64
应,63
农,62
司,59
古,58
吉,58
卓,58
车,57
简,57
连,57
缪,57
项,57
麦,55
褚,54
窦,53
娄,53
戚,53
岑,52
党,52
宫,52
景,52
卜,51
费,51
冷,50
晏,50
卫,48
席,48
柏,46
米,46
隋,46
宗,45
桂,44
瞿,44
全,44
苟,43
楼,43
闵,43
佟,43
臧,43
边,42
卞,42
姬,42
邬,42
和,41
师,41
仇,40
栾,40
丘,40
刁,39
沙,39
商,39
寇,38
荣,38
巫,38
郎,37
桑,37
丛,36
甄,36
敖,35
虞,35
仲,35
池,34
巩,34
明,34
佘,34
查,33
麻,33
苑,33
迟,32
邝,32
封,31
官,31
谈,31
鞠,30
匡,30
惠,29.8
荆,28.9
乐,28.8
冀,28.5
胥,28.5
郁,28.5
南,27.7
班,27.3
储,27.2
芦,27
原,27
栗,26.6
燕,26.4
楚,26.3
鄢,26.3
扬,26
劳,25.9
谌,24.8
奚,23.1
皮,22.9
蔺,22.8
粟,22.8
冼,22.8
盘,22.5
满,21.9
闻,21.7
厉,20.6
伊,20.6
候,20
仝,20
区,19.9
郜,19.8
海,19.7
阚,19.6
花,19.5
权,19.1
强,19
帅,19
屠,18.9
朴,18.7
盖,18.6
练,18.5
廉,18.4
禹,18.2
井,17.9
巴,17.7
漆,17.7
祖,17.7
丰,17.6
支,17.3
卿,17.2
国,17.1
狄,16.8
平,16.6
计,16.5
索,16.5
宣,16.4
晋,16.2
相,16.2
占,16
初,15.9
门,15.9
云,15.6
容,15.4
敬,15
来,14.8
扈,14.7
晁,14.6
都,14.6
芮,14.6
普,14.5
阙,14.5
戈,14.4
浦,14.4
伏,14.3
薄,14
鹿,14
邸,13.9
雍,13.9
辜,13.8
阿,13.6
羊,13.6
母,13.5
亓,13.4
裘,13.4
修,13.3
邰,13
杭,12.8
赫,12.8
况,12.4
那,12.4
宿,12.3
鲜,12.2
逯,12.1
印,12.1
隆,12
习,12
茹,11.9
诸,11.8
战,11.7
慕,11.5
危,11.2
玉,11.2
银,11.1
亢,11
公,10.9
嵇,10.9
豆,10.8
哈,10.7
湛,10.5
宾,10.2
勾,10.1
茅,10.1
戎,10.1
利,10
於,9.9
呼,9.8
居,9.8
干,9.6
揭,9.6
但,9.5
尉,9.5
斯,9.3
元,9.2
束,9.1
檀,9
衣,9
信,8.9
阴,8.9
展,8.9
昝,8.7
智,8.7
幸,8.6
奉,8.5
植,8.5
富,8.4
衡,8.4
昌,8
巢,8
郦,8
逄,8
寿,8
由,8
竺,8
贝,7
步,7
东,7
鄂,7
弓,7
过,7
钮,7
濮,7
水,7
蔚,7
郗,7
荀,7
贲,6
别,6
邴,6
才,6
操,6
畅,6
从,6
达,6
凡,6
凤,6
扶,6
